experiment_name,experiment_type,experiment_subtype,train_dataset_name,train_task_number,train_task_name,task_name,Accuracy,F1 Score,Precision,Recall
mert95m_finetuning_cl_vocalsetsinger_scenario1,CL,Finetuning,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.1986111104488372,0.1986111104488372,0.1986111104488372,0.1986111104488372
mert95m_finetuning_cl_vocalsetsinger_scenario3,CL,Finetuning,VocalSetSinger,0,female8-male7-male8-female1,female8-male7-male8-female1,0.9930555820465088,0.9930555820465088,0.9930555820465088,0.9930555820465088
mert95m_finetuning_cl_vocalsetsinger_scenario3,CL,Finetuning,VocalSetSinger,1,male10-female7-male6-male1,female8-male7-male8-female1-male10-female7-male6-male1,0.4948096871376037,0.4948096871376037,0.4948096871376037,0.4948096871376037
mert95m_finetuning_cl_vocalsetsinger_scenario3,CL,Finetuning,VocalSetSinger,2,female9-female5-male9-female4,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4,0.3247663676738739,0.3247663676738739,0.3247663676738739,0.3247663676738739
mert95m_finetuning_cl_vocalsetsinger_scenario3,CL,Finetuning,VocalSetSinger,3,female3-male4-male5-female6,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6,0.2526132464408874,0.2526132464408874,0.2526132464408874,0.2526132464408874
mert95m_finetuning_cl_vocalsetsinger_scenario3,CL,Finetuning,VocalSetSinger,4,male11-female2-male2-male3,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6-male11-female2-male2-male3,0.2013888955116272,0.2013888955116272,0.2013888955116272,0.2013888955116272

mert95m_replay_cl_vocalsetsinger_scenario1,CL,Replay,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,0.9863013625144958,0.9863013625144958,0.9863013625144958,0.9863013625144958
mert95m_replay_cl_vocalsetsinger_scenario1,CL,Replay,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.9230769276618958,0.9230769276618958,0.9230769276618958,0.9230769276618958
mert95m_replay_cl_vocalsetsinger_scenario1,CL,Replay,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.6125289797782898,0.6125289797782898,0.6125289797782898,0.6125289797782898
mert95m_replay_cl_vocalsetsinger_scenario1,CL,Replay,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.3993055522441864,0.3993055522441864,0.3993055522441864,0.3993055522441864
mert95m_replay_cl_vocalsetsinger_scenario1,CL,Replay,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.297222226858139,0.297222226858139,0.297222226858139,0.297222226858139
mert95m_replay_cl_vocalsetsinger_scenario2,CL,Replay,VocalSetSinger,0,female9-male3-female3-female1,female9-male3-female3-female1,1.0,1.0,1.0,1.0
mert95m_replay_cl_vocalsetsinger_scenario2,CL,Replay,VocalSetSinger,1,female8-male1-male9-female5,female9-male3-female3-female1-female8-male1-male9-female5,0.9273356199264526,0.9273356199264526,0.9273356199264526,0.9273356199264526
mert95m_replay_cl_vocalsetsinger_scenario2,CL,Replay,VocalSetSinger,2,female2-male8-female6-male6,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6,0.60550457239151,0.60550457239151,0.60550457239151,0.60550457239151
mert95m_replay_cl_vocalsetsinger_scenario2,CL,Replay,VocalSetSinger,3,male7-male4-male2-female7,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7,0.4061962068080902,0.4061962068080902,0.4061962068080902,0.4061962068080902
mert95m_replay_cl_vocalsetsinger_scenario2,CL,Replay,VocalSetSinger,4,male10-female4-male5-male11,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7-male10-female4-male5-male11,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289
mert95m_replay_cl_vocalsetsinger_scenario3,CL,Replay,VocalSetSinger,0,female8-male7-male8-female1,female8-male7-male8-female1,0.9791666865348816,0.9791666865348816,0.9791666865348816,0.9791666865348816
mert95m_replay_cl_vocalsetsinger_scenario3,CL,Replay,VocalSetSinger,1,male10-female7-male6-male1,female8-male7-male8-female1-male10-female7-male6-male1,0.9238754510879515,0.9238754510879515,0.9238754510879515,0.9238754510879515
mert95m_replay_cl_vocalsetsinger_scenario3,CL,Replay,VocalSetSinger,2,female9-female5-male9-female4,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4,0.5210280418395996,0.5210280418395996,0.5210280418395996,0.5210280418395996
mert95m_replay_cl_vocalsetsinger_scenario3,CL,Replay,VocalSetSinger,3,female3-male4-male5-female6,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6,0.3937282264232635,0.3937282264232635,0.3937282264232635,0.3937282264232635
mert95m_replay_cl_vocalsetsinger_scenario3,CL,Replay,VocalSetSinger,4,male11-female2-male2-male3,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6-male11-female2-male2-male3,0.2874999940395355,0.2874999940395355,0.2874999940395355,0.2874999940395355

mert95m_icarl_cl_vocalsetsinger_scenario1,CL,iCaRL,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,1.0,1.0,1.0,1.0
mert95m_icarl_cl_vocalsetsinger_scenario1,CL,iCaRL,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.9650349617004396,0.9650349617004396,0.9650349617004396,0.9650349617004396
mert95m_icarl_cl_vocalsetsinger_scenario1,CL,iCaRL,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.7262181043624878,0.7262181043624878,0.7262181043624878,0.7262181043624878
mert95m_icarl_cl_vocalsetsinger_scenario1,CL,iCaRL,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.4826388955116272,0.4826388955116272,0.4826388955116272,0.4826388955116272
mert95m_icarl_cl_vocalsetsinger_scenario1,CL,iCaRL,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.3666666746139526,0.3666666746139526,0.3666666746139526,0.3666666746139526
mert95m_icarl_cl_vocalsetsinger_scenario2,CL,iCaRL,VocalSetSinger,0,female9-male3-female3-female1,female9-male3-female3-female1,0.9931034445762634,0.9931034445762634,0.9931034445762634,0.9931034445762634
mert95m_icarl_cl_vocalsetsinger_scenario2,CL,iCaRL,VocalSetSinger,1,female8-male1-male9-female5,female9-male3-female3-female1-female8-male1-male9-female5,0.9065743684768676,0.9065743684768676,0.9065743684768676,0.9065743684768676
mert95m_icarl_cl_vocalsetsinger_scenario2,CL,iCaRL,VocalSetSinger,2,female2-male8-female6-male6,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6,0.7752293348312378,0.7752293348312378,0.7752293348312378,0.7752293348312378
mert95m_icarl_cl_vocalsetsinger_scenario2,CL,iCaRL,VocalSetSinger,3,male7-male4-male2-female7,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7,0.5421686768531799,0.5421686768531799,0.5421686768531799,0.5421686768531799
mert95m_icarl_cl_vocalsetsinger_scenario2,CL,iCaRL,VocalSetSinger,4,male10-female4-male5-male11,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7-male10-female4-male5-male11,0.3791666626930237,0.3791666626930237,0.3791666626930237,0.3791666626930237
mert95m_icarl_cl_vocalsetsinger_scenario3,CL,iCaRL,VocalSetSinger,0,female8-male7-male8-female1,female8-male7-male8-female1,1.0,1.0,1.0,1.0
mert95m_icarl_cl_vocalsetsinger_scenario3,CL,iCaRL,VocalSetSinger,1,male10-female7-male6-male1,female8-male7-male8-female1-male10-female7-male6-male1,0.9653978943824768,0.9653978943824768,0.9653978943824768,0.9653978943824768
mert95m_icarl_cl_vocalsetsinger_scenario3,CL,iCaRL,VocalSetSinger,2,female9-female5-male9-female4,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4,0.7476635575294495,0.7476635575294495,0.7476635575294495,0.7476635575294495
mert95m_icarl_cl_vocalsetsinger_scenario3,CL,iCaRL,VocalSetSinger,3,female3-male4-male5-female6,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6,0.4773519039154053,0.4773519039154053,0.4773519039154053,0.4773519039154053
mert95m_icarl_cl_vocalsetsinger_scenario3,CL,iCaRL,VocalSetSinger,4,male11-female2-male2-male3,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6-male11-female2-male2-male3,0.3777777850627899,0.3777777850627899,0.3777777850627899,0.3777777850627899

mert95m_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,0.9931507110595704,0.9931507110595704,0.9931507110595704,0.9931507110595704
mert95m_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.5524475574493408,0.5524475574493408,0.5524475574493408,0.5524475574493408
mert95m_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.4408352673053741,0.4408352673053741,0.4408352673053741,0.4408352673053741
mert95m_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.3246527910232544,0.3246527910232544,0.3246527910232544,0.3246527910232544
mert95m_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.25,0.25,0.25,0.25
mert95m_gem_cl_vocalsetsinger_scenario2,CL,GEM,VocalSetSinger,0,female9-male3-female3-female1,female9-male3-female3-female1,0.9931034445762634,0.9931034445762634,0.9931034445762634,0.9931034445762634
mert95m_gem_cl_vocalsetsinger_scenario2,CL,GEM,VocalSetSinger,1,female8-male1-male9-female5,female9-male3-female3-female1-female8-male1-male9-female5,0.6712802648544312,0.6712802648544312,0.6712802648544312,0.6712802648544312
mert95m_gem_cl_vocalsetsinger_scenario2,CL,GEM,VocalSetSinger,2,female2-male8-female6-male6,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6,0.447247713804245,0.447247713804245,0.447247713804245,0.447247713804245
mert95m_gem_cl_vocalsetsinger_scenario2,CL,GEM,VocalSetSinger,3,male7-male4-male2-female7,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7,0.3149741888046264,0.3149741888046264,0.3149741888046264,0.3149741888046264
mert95m_gem_cl_vocalsetsinger_scenario2,CL,GEM,VocalSetSinger,4,male10-female4-male5-male11,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7-male10-female4-male5-male11,0.2583333253860473,0.2583333253860473,0.2583333253860473,0.2583333253860473
mert95m_gem_cl_vocalsetsinger_scenario3,CL,GEM,VocalSetSinger,0,female8-male7-male8-female1,female8-male7-male8-female1,0.9930555820465088,0.9930555820465088,0.9930555820465088,0.9930555820465088
